Namespace,ParentClassName,HandleName,InterfaceName,SummaryText,ClassName,BaseClassName,CloseCode,InheritedHandleName
Vanara.PInvoke,WsmSvc,WSMAN_API_HANDLE,IHandle,Provides a handle to a Windows Remote Client unique identifier.,SafeWSMAN_API_HANDLE,SafeHANDLE,WSManDeinitialize(handle).Succeeded,
Vanara.PInvoke,WsmSvc,WSMAN_COMMAND_HANDLE,IHandle,Provides a handle to a remote management command.,,,,
Vanara.PInvoke,WsmSvc,WSMAN_OPERATION_HANDLE,IHandle,Provides a handle to a remote management operation.,SafeWSMAN_OPERATION_HANDLE,SafeHANDLE,WSManCloseOperation(handle).Succeeded,
Vanara.PInvoke,WsmSvc,WSMAN_SESSION_HANDLE,IHandle,Provides a handle to a remote managment session.,SafeWSMAN_SESSION_HANDLE,SafeHANDLE,WSManCloseSession(handle).Succeeded,
Vanara.PInvoke,WsmSvc,WSMAN_SHELL_HANDLE,IHandle,Provides a handle to a remote management shell.,,,,
